iter	Passed	Remaining
0	0	73
1	1	68
2	1	62
3	2	55
4	2	56
5	3	55
6	4	54
7	4	53
8	5	51
9	5	52
10	6	52
11	7	52
12	7	51
13	8	51
14	9	51
15	9	51
16	10	51
17	11	52
18	12	52
19	13	52
20	13	51
21	14	51
22	14	49
23	15	48
24	16	48
25	16	47
26	17	46
27	17	45
28	18	44
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	21	40
35	22	40
36	23	40
37	24	39
38	25	39
39	26	39
40	26	38
41	27	37
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	33	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	51	15
77	52	14
78	52	14
79	53	13
80	54	12
81	54	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	67	0
99	67	0
