iter	Passed	Remaining
0	148	148036
1	149	74704
2	150	50147
3	152	37869
4	153	30483
5	154	25519
6	154	21974
7	155	19300
8	156	17206
9	157	15586
10	158	14210
11	161	13302
12	162	12308
13	162	11474
14	163	10743
15	164	10109
16	165	9546
17	165	9038
18	166	8579
19	166	8165
20	167	7797
21	167	7457
22	168	7143
23	168	6861
24	169	6597
25	169	6352
26	170	6130
27	171	5941
28	171	5754
29	173	5621
30	174	5454
31	174	5292
32	175	5140
33	176	5001
34	176	4865
35	176	4737
36	177	4615
37	177	4505
38	178	4399
39	178	4295
40	179	4199
41	180	4105
42	180	4017
43	180	3932
44	181	3850
45	181	3773
46	182	3698
47	182	3625
48	183	3563
49	184	3514
50	186	3461
51	186	3403
52	187	3347
53	187	3292
54	188	3237
55	188	3184
56	189	3134
57	189	3084
58	190	3037
59	190	2990
60	191	2947
61	191	2904
62	192	2863
63	193	2823
64	193	2784
65	193	2744
66	194	2707
67	194	2670
68	195	2636
69	195	2601
70	196	2567
71	196	2535
72	197	2504
73	197	2473
74	198	2451
75	199	2424
76	201	2420
77	202	2394
78	203	2368
79	203	2343
80	204	2318
81	204	2294
82	205	2266
83	205	2244
84	206	2222
85	207	2200
86	207	2179
87	208	2157
88	208	2135
89	209	2115
90	209	2095
91	210	2075
92	210	2055
93	211	2036
94	211	2018
95	212	1999
96	212	1981
97	215	1981
98	216	1972
99	218	1962
100	218	1947
101	219	1930
102	219	1915
103	220	1902
104	221	1887
105	221	1872
106	222	1856
107	222	1841
108	223	1826
109	223	1812
110	224	1797
111	225	1784
112	225	1770
113	225	1756
114	226	1743
115	227	1730
116	227	1717
117	227	1703
118	229	1695
119	232	1703
120	233	1693
121	233	1680
122	234	1669
123	234	1657
124	235	1646
125	235	1634
126	236	1623
127	236	1613
128	237	1602
129	238	1592
130	238	1582
131	238	1571
132	239	1561
133	240	1552
134	240	1541
135	241	1532
136	241	1523
137	242	1513
138	242	1503
139	243	1494
140	243	1486
141	246	1489
142	247	1482
143	248	1474
144	248	1466
145	249	1457
146	249	1449
147	250	1441
148	250	1433
149	251	1425
150	252	1417
151	252	1409
152	253	1402
153	253	1394
154	254	1386
155	254	1379
156	255	1371
157	255	1364
158	256	1356
159	256	1348
160	257	1340
161	257	1333
162	258	1326
163	258	1319
164	260	1317
165	261	1311
166	263	1313
167	264	1309
168	265	1303
169	265	1297
170	266	1290
171	266	1284
172	267	1277
173	267	1271
174	268	1265
175	268	1259
176	269	1252
177	269	1246
178	270	1240
179	270	1234
180	271	1228
181	271	1221
182	272	1215
183	272	1209
184	273	1204
185	273	1198
186	274	1192
187	275	1190
188	276	1184
189	277	1183
190	279	1182
191	279	1177
192	280	1172
193	280	1167
194	281	1161
195	281	1156
196	282	1151
197	283	1146
198	283	1141
199	284	1136
200	284	1131
201	285	1126
202	285	1121
203	286	1116
204	286	1111
205	287	1106
206	287	1101
207	288	1097
208	288	1092
209	289	1087
210	289	1083
211	290	1080
212	292	1082
213	293	1077
214	293	1072
215	294	1068
216	294	1064
217	295	1060
218	296	1056
219	296	1052
220	297	1048
221	298	1044
222	298	1040
223	299	1036
224	299	1032
225	300	1028
226	300	1023
227	301	1019
228	301	1015
229	302	1011
230	302	1007
231	303	1003
232	303	999
233	304	995
234	304	991
235	305	987
236	305	984
237	308	986
238	309	984
239	310	981
240	310	978
241	311	975
242	312	972
243	312	969
244	313	965
245	313	962
246	314	958
247	314	954
248	315	950
249	315	947
250	316	943
251	316	940
252	317	936
253	317	933
254	318	929
255	318	926
256	319	922
257	319	919
258	320	915
259	320	913
260	321	910
261	322	909
262	324	908
263	324	905
264	325	903
265	326	900
266	326	897
267	327	894
268	327	890
269	328	887
270	328	884
271	329	882
272	330	879
273	330	876
274	331	873
275	332	870
276	332	868
277	333	865
278	333	862
279	334	859
280	334	857
281	335	855
282	336	852
283	337	850
284	337	847
285	338	845
286	339	843
287	340	840
288	340	837
289	341	835
290	341	832
291	342	829
292	342	827
293	343	825
294	344	822
295	344	819
296	345	817
297	345	814
298	346	812
299	346	809
300	347	807
301	348	804
302	348	801
303	349	799
304	349	796
305	350	794
306	350	791
307	352	791
308	353	791
309	354	789
310	355	787
311	355	784
312	356	782
313	356	779
